"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"91a695889567a8af";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.12.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"3a86b004228b28ac";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.01.2018";"97%";"c1affca00be00815e8f7ff00abde0b30";"587b08beffb46cf2";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"19.10.2016";"97%";"c1affca00be00815e8f7ff00abde0b30";"fefbd3d8463b1022";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.06.2015";"97%";"c1affca00be00815e8f7ff00abde0b30";"e0d13d8e81068ec7";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"23.04.2015";"97%";"c1affca00be00815e8f7ff00abde0b30";"64d42988b89d5e67";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.12.2013";"97%";"c1affca00be00815e8f7ff00abde0b30";"02f82c651be65f06";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.06.2012";"97%";"c1affca00be00815e8f7ff00abde0b30";"d7a21f8f6e3a37b5";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"26.08.2011";"97%";"c1affca00be00815e8f7ff00abde0b30";"58763b97968afaf2";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"11.01.2011";"97%";"c1affca00be00815e8f7ff00abde0b30";"86ba98cc04acfda9";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.01.2010";"97%";"c1affca00be00815e8f7ff00abde0b30";"13f81b19c8a9cde7";"73934";"Wed Jul 15 16:04:13 2020"
"DELTA BARTH Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"07.01.2009";"97%";"c1affca00be00815e8f7ff00abde0b30";"57195b299a961aac";"73934";"Wed Jul 15 16:04:13 2020"
"Delta Barth Systemhaus GmbH Limbach-Oberfrohna";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"03.12.2007";"97%";"c1affca00be00815e8f7ff00abde0b30";"0b1c1fcb175e0d83";"73934";"Wed Jul 15 16:04:13 2020"
