"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.08.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"a57cc5e7793faeed";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.08.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"a1b9e3cc2f514da0";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.12.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"f899fb060336dbf3";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"a3723288dcb53d7b";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.12.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"a3948d63f85657b4";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.01.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"0a66ae0cd9dfbf89";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"25.07.2013";"92%";"c1affca00be00815e8f7ff00abde0b30";"338e32ab5245d020";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.08.2012";"92%";"c1affca00be00815e8f7ff00abde0b30";"73aa6c00701cba4b";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.12.2011";"92%";"c1affca00be00815e8f7ff00abde0b30";"c5b1714715220e73";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"09.12.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"36726a117372385f";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"24.06.2009";"92%";"c1affca00be00815e8f7ff00abde0b30";"24e52c8cd78f0313";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"14.07.2008";"92%";"c1affca00be00815e8f7ff00abde0b30";"93fced705de79137";"23296";"Wed Jul 15 08:10:04 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"31.01.2008";"92%";"c1affca00be00815e8f7ff00abde0b30";"16c001f583841efd";"23296";"Wed Jul 15 08:10:04 2020"
