"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fbe6ce9ac187b75c";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"789f66e8a77e9c17";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.02.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7a1717d44016e27b";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"21ae5d8a72abb5eb";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.01.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"72cc41e49f827224";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.01.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"2ee7bac08cdd85e7";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.12.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"de0650dd4831a1c2";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.01.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"f5e9f45a328b92f0";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"28.02.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"ef9b474f8534137e";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.08.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"cb6c0be51cfda381";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"13.01.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"64db071946d203a7";"03843";"Wed Jul  8 22:29:24 2020"
"Kreissig Gesellschaft mit beschränkter Haftung Zülpich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"09.02.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6e1ec092e25947b3";"03843";"Wed Jul  8 22:29:24 2020"
